ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service
1743001094.828333,CJGYgj2dlz7JNF40e3,10.3.26.44,49813,20.106.86.13,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['3602300d6e49761ee42b961493c275cd3235ca8fd124a54d5c9f0e77d44009a8', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743001094.768383,10.3.26.44,49813,20.106.86.13,443,tcp,0.33358788490295405,1713.0,4280.0,SF,True,False,0,ShADdaFf,12,2205,10,4692,ssl
1743001095.821057,CsvpwZ2hXReukJUVwi,10.3.26.44,49814,20.106.86.13,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['3602300d6e49761ee42b961493c275cd3235ca8fd124a54d5c9f0e77d44009a8', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743001095.759511,10.3.26.44,49814,20.106.86.13,443,tcp,0.44923305511474604,3616.0,4899.0,SF,True,False,0,ShADdaFRf,14,4188,11,5351,ssl
1743001095.876753,Cr0Cfx2fu0MGrsbuo1,10.3.26.44,49815,20.106.86.13,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['3602300d6e49761ee42b961493c275cd3235ca8fd124a54d5c9f0e77d44009a8', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743001095.805083,10.3.26.44,49815,20.106.86.13,443,tcp,0.450721979141235,1284.0,4282.0,SF,True,False,0,ShADdaFRf,13,1816,11,4734,ssl
1743001096.406316,CXkIsN1Ax92fpQiJf9,10.3.26.44,49817,20.106.86.13,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['3602300d6e49761ee42b961493c275cd3235ca8fd124a54d5c9f0e77d44009a8', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743001096.34153,10.3.26.44,49817,20.106.86.13,443,tcp,0.44494891166687006,3044.0,4321.0,SF,True,False,0,ShADdaFRf,14,3616,11,4773,ssl
1743001096.825644,CRIYf42FuuG7SX6Y7k,10.3.26.44,49818,23.53.127.105,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,True,,True,CsiI,nan,nan,,d7268fba5c8ebdc86121861931c04402,2253c82f03b621c5144709b393fde2c9,1743001096.796332,10.3.26.44,49818,23.53.127.105,443,tcp,0.70034122467041,1930.0,72461.0,S1,True,False,0,ShADda,29,3102,63,74993,ssl
1743001097.532965,CJtHJcKl4hLYIulV8,10.3.26.44,49819,52.123.128.14,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,ecs.office.com,False,,True,CsxuknGIti,"['f868e86d63a6546124296d21f9cf8530411ea2ae33dd0ce8d702bcaafa81b8cc', '724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03']",[],1.0,258a5a1e95b8a911872bae9081526644,60a1c7426de3ff26002f692fbe0d7408,1743001097.508889,10.3.26.44,49819,52.123.128.14,443,tcp,2.429486989974975,1193.0,38394.0,RSTO,True,False,0,ShADadR,15,1805,35,39806,ssl
1743001097.606356,C53BaI8ShKwVmqCyl,10.3.26.44,49821,150.171.27.11,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,False,h2,True,CsxuknGIti,"['6337a7cc987496c11150da81b5bfa35c951c77f11388c2abfa2522f9b549ea94', '511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea']",[],1.0,0dd0af6908f1c8d90a4976b8aced7a36,0f14538e1c9070becdad7739c67d6363,1743001097.587147,10.3.26.44,49821,150.171.27.11,443,tcp,12.028970003128052,9267.0,7588.0,SF,True,False,0,ShADadFf,19,10039,17,8280,ssl
1743001097.596637,CMjKaGMUVqUbtywj,10.3.26.44,49820,13.107.246.66,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,static.edge.microsoftapp.net,False,,True,CjiICs,nan,nan,,c671fc3c49f968760d4b50d5e32a12ef,46ca3a127f5443353dfb8cc2e16197e5,1743001097.577902,10.3.26.44,49820,13.107.246.66,443,tcp,12.038441896438599,2783.0,8182.0,SF,True,False,0,ShADadFf,16,3435,16,8834,ssl
1743001097.717986,CkV0NJuMhvWfRfOL7,10.3.26.44,49823,52.123.128.14,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,ecs.office.com,False,,True,CsxuknGIti,"['f868e86d63a6546124296d21f9cf8530411ea2ae33dd0ce8d702bcaafa81b8cc', '724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03']",[],1.0,258a5a1e95b8a911872bae9081526644,60a1c7426de3ff26002f692fbe0d7408,1743001097.693718,10.3.26.44,49823,52.123.128.14,443,tcp,21.84099507331848,1193.0,38389.0,RSTO,True,False,0,ShADadR,16,1845,35,39801,ssl
1743001097.726253,CBD0Ic2XWQCbFQdmnk,10.3.26.44,49822,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,www.msn.com,False,,True,CjiICs,nan,nan,,584a8700c3e4f7d9326c943dc97dc327,46ca3a127f5443353dfb8cc2e16197e5,1743001097.650915,10.3.26.44,49822,204.79.197.203,443,tcp,12.027278184890747,3351.0,16275.0,SF,True,False,0,ShADadFf,16,4003,27,17367,ssl
