ja3_int,ja3s_int,sni_len,sni_entropy,sni_is_ip,ja3_freq,sni_freq,ja3_reuse_cnt,iat_mean,iat_std,iat_cv,iat_cnt
141459,220718,21,3.535174565635902,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,55092,29,3.9783335811852645,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,55092,29,3.9783335811852645,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,24,3.4072682296173893,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,8491,20,3.6841837197791887,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,8491,20,3.6841837197791887,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,24,3.4072682296173893,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,13,2.8731406795131336,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,202506,21,3.880179922675737,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,28,3.99468036840891,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,28,3.99468036840891,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,15,3.2402239289418517,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,20,3.584183719779188,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,15,3.2402239289418517,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,20,3.584183719779188,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,20,3.984183719779189,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,20,3.984183719779189,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,259268,19,3.471354487013928,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,259268,19,3.471354487013928,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,20,3.5841837197791886,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,20,3.5841837197791886,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,47351,15,3.189898095464287,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,47351,15,3.189898095464287,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,112783,14,3.3787834934861767,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,223223,24,4.053508854797679,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,112783,14,3.3787834934861767,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,223223,24,4.053508854797679,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,36876,21,3.653756708287001,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,36876,21,3.653756708287001,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,24,3.6572682296173897,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,80980,13,3.0269868333592873,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,16,3.375,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,16,3.375,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,112783,14,3.3787834934861767,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,16,3.375,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,220718,16,3.375,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,112783,14,3.3787834934861767,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,112783,13,3.0269868333592873,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
